Rt,Et,Ret,Qt
0,0,0,0.318
0,0,0,0.3195
0,0,0,0.3202
0,0,0,0.324
0,0,0,0.324
0,0,0,0.324
0,0,0,0.3263
0,0.00702,0,0.33
0,0.03608,0,0.33
0,0.06747,0,0.33
0,0.11849,0,0.33
0,0.16278,0,0.33
0,0.18661,0,0.3248
0,0.20414,0,0.3233
0,0.20591,0,0.318
0,0.20746,0,0.318
0,0.17242,0,0.3202
0,0.15385,0,0.3218
0,0.12219,0,0.3218
0,0.08962,0,0.324
0,0.05704,0,0.3203
0,0.01314,0,0.318
0,0,0,0.318
0,0,0,0.318
0,0,0,0.318
0,0,0,0.318
0,0,0,0.3188
0,0,0,0.324
0,0,0,0.324
0,0,0,0.3255
0,0.00079,0,0.3293
0,0.00692,0,0.33
0,0.0278,0,0.33
0,0.04103,0,0.33
0,0.05273,0,0.33
0,0.05239,0,0.3278
0.008,0.05224,0,0.3255
0,0.05216,0,0.324
0,0.06967,0,0.324
0,0.08246,0,0.3263
0,0.1423,0,0.33
0,0.13381,0,0.33
0,0.14136,0,0.3308
0,0.09848,0,0.3345
0,0.06111,0,0.3353
0.002,0.00943,0,0.33
0,0,0,0.33
0,0,0,0.3278
0,0,0,0.3278
0.002,0,0.002,0.33
0,0,0,0.33
0,0,0,0.33
0,0.00189,0,0.33
0,0.01136,0,0.3338
0,0.01183,0,0.336
0,0.01739,0,0.333
0,0.02984,0,0.3338
0,0.04843,0,0.33
0,0.07895,0,0.33
0,0.1018,0,0.3262
0,0.13731,0,0.324
0,0.16854,0,0.3203
0,0.17474,0,0.318
0,0.17959,0,0.3142
0,0.168,0,0.3135
0,0.13024,0,0.312
0,0.12189,0,0.312
0,0.08588,0,0.3128
0,0.03549,0,0.315
0,0.00095,0,0.315
0,0,0,0.318
0,0,0,0.3172
0,0,0,0.3165
0.002,0,0.002,0.3165
0,0,0,0.312
0,0,0,0.3128
0,0,0,0.3188
0,0,0,0.333
0,0,0,0.3375
0,0.01344,0,0.33
0,0.04308,0,0.315
0,0.07408,0,0.312
0,0.11437,0,0.3158
0,0.15287,0,0.315
0,0.16336,0,0.3158
0,0.13999,0,0.312
0.007,0.17532,0,0.312
0,0.16665,0,0.312
0,0.15335,0,0.312
0,0.07396,0,0.3105
0,0.07542,0,0.309
0,0.0572,0,0.3105
0,0.04082,0,0.312
0,0.00488,0,0.312
0,0,0,0.312
0.007,0,0.007,0.312
0,0,0,0.3112
0,0.00268,0,0.3112
0,0,0,0.312
0,0,0,0.312
0,0,0,0.3135
0,0,0,0.3158
0,0,0,0.318
0,0.01457,0,0.3232
0,0.01941,0,0.3225
0,0.03687,0,0.324
0,0.06115,0,0.324
0,0.08509,0,0.3188
0,0.12118,0,0.3195
0,0.1547,0,0.318
0,0.1613,0,0.3142
0,0.14456,0,0.3135
0,0.10517,0,0.3135
0,0.06085,0,0.3173
0,0.02842,0,0.318
0,0.01609,0,0.318
0,0.00756,0,0.312
0,0.00023,0,0.3016
0,0,0,0.2942
0,0,0,0.289
0,0,0,0.2897
0,0,0,0.295
0,0,0,0.295
0,0.00061,0,0.295
0,0.00053,0,0.2981
0,0.00447,0,0.3008
0,0.00458,0,0.3045
0,0.01019,0,0.3075
0.002,0.03969,0,0.3112
0,0.03617,0,0.3158
0,0.09312,0,0.318
0.003,0.08819,0,0.3172
0,0.11771,0,0.3135
0,0.11244,0,0.312
0,0.13828,0,0.3098
0,0.13712,0,0.306
0,0.13772,0,0.306
0,0.10484,0,0.306
0,0.08966,0,0.306
0,0.07624,0,0.3052
0,0.04362,0,0.3015
0,0.00246,0,0.3
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3022
0,0,0,0.306
0,0,0,0.306
0,0,0,0.3082
0,0,0,0.312
0,0.00786,0,0.312
0,0.03425,0,0.312
0,0.07133,0,0.315
0,0.10303,0,0.312
0,0.13354,0,0.312
0,0.15587,0,0.312
0,0.11466,0,0.3082
0,0.15504,0,0.306
0,0.17902,0,0.3007
0,0.16419,0,0.3
0,0.14733,0,0.3
0,0.09986,0,0.3
0,0.06551,0,0.3045
0,0.03261,0,0.3
0,0.00122,0,0.3008
0,0,0,0.3075
0,0,0,0.3022
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3
0,0,0,0.3052
0,0,0,0.306
0,0.00021,0,0.3097
0,0.00542,0,0.312
0,0.02085,0,0.312
0,0.03478,0,0.312
0,0.06442,0,0.3158
0,0.12452,0,0.3142
0,0.11906,0,0.312
0,0.11309,0,0.312
0,0.12469,0,0.3098
0,0.13941,0,0.306
0,0.09693,0,0.306
0,0.05476,0,0.315
0,0.03996,0,0.3232
0,0.03239,0,0.312
0,0.02024,0,0.3098
0,0.00578,0,0.309
0,0,0,0.306
0,0,0,0.306
0,0,0,0.306
0,0,0,0.306
0,0,0,0.306
0,0,0,0.306
0,0,0,0.3112
0,0,0,0.312
0,0.00024,0,0.312
0.001,0.00838,0,0.3143
0,0.02278,0,0.318
0,0.02769,0,0.318
0,0.04204,0,0.318
0,0.08951,0,0.315
0,0.11012,0,0.3128
0,0.13432,0,0.3112
0,0.12119,0,0.3112
0,0.11354,0,0.3098
0,0.12408,0,0.306
0,0.10509,0,0.306
0,0.07915,0,0.306
0,0.06047,0,0.3097
0,0.03076,0,0.312
0,0.00443,0,0.3112
0,0,0,0.3075
0,0,0,0.306
0,0,0,0.306
0,0,0,0.3052
0.007,0,0.007,0.3
0,0.00172,0,0.3
0,0.0013,0,0.3038
0,0.00016,0,0.306
0,0.00052,0,0.3067
0,0.00797,0,0.303
0.014,0.02679,0,0.3052
0,0.04562,0,0.306
0,0.0834,0,0.3052
0,0.11671,0,0.3015
0,0.13761,0,0.3
0,0.11944,0,0.2956
0,0.15422,0,0.2935
0,0.14455,0,0.2898
0,0.07779,0,0.289
0,0.04986,0,0.289
0,0.0405,0,0.289
0,0.03112,0,0.289
0,0.01491,0,0.289
0,0,0,0.2942
0,0,0,0.295
0,0,0,0.2942
0.002,0,0.002,0.2912
0,0,0,0.292
0,0.00069,0,0.2905
0,0,0,0.2935
0,0.00119,0,0.295
0,0.00138,0,0.295
0,0.0011,0,0.295
0,0.00849,0,0.2981
0,0.02341,0,0.2994
0.007,0.04289,0,0.2994
0,0.06209,0,0.3
0,0.06914,0,0.3
0,0.09839,0,0.2981
0,0.11233,0,0.295
0,0.10602,0,0.295
0,0.1167,0,0.295
0,0.09209,0,0.295
0,0.07818,0,0.295
0,0.07615,0,0.295
0,0.04623,0,0.295
0,0.02142,0,0.295
0,0.00085,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.295
0,0,0,0.2981
0,0,0,0.3
0,0.00522,0,0.3
0,0.02116,0,0.3
0,0.04328,0,0.3
0,0.07753,0,0.3
0,0.10086,0,0.3
0,0.12198,0,0.2994
0,0.1277,0,0.295
0,0.12978,0,0.295
0,0.11049,0,0.295
0,0.09358,0,0.295
0,0.08721,0,0.2935
0,0.0679,0,0.295
0,0.02656,0,0.295
0,0.01792,0,0.295
0,0.00504,0,0.2962
0.002,0.00203,0,0.295
0.007,0.00156,0.00544,0.295
0,0.00064,0,0.2956
0,0.00075,0,0.2987
0,0.0018,0,0.2981
0,0.00087,0,0.295
0,0.00107,0,0.2956
0,0.00209,0,0.2994
0,0.00226,0,0.295
0,0.00301,0,0.2969
0,0.00617,0,0.3
0,0.01123,0,0.2969
0,0.0116,0,0.2994
0.236,0.01413,0.22187,0.2994
0.314,0.01241,0.30159,0.2962
0.008,0.01809,0,0.295
0,0.01733,0,0.295
0.007,0.02851,0,0.295
0.007,0.03701,0,0.2994
0,0.03387,0,0.3
0.007,0.01703,0,0.3052
0,0.00908,0,0.3097
0,0.00526,0,0.3105
0,0.00132,0,0.312
0.004,0.00018,0.00382,0.312
0,0.00012,0,0.312
0,0.00024,0,0.312
